id,book_id,quantity,total_price,date

1,3,1,25.0,2025-12-15T13:57:38.677150+00:00
2,3,1,25.0,2025-12-15T13:57:56.611114+00:00
3,1,10,250.0,2025-12-15T14:27:54.526897+00:00
4,1,10,250.0,2025-12-15T14:27:58.752899+00:00
5,1,10,250.0,2025-12-15T14:28:01.899065+00:00
6,1,10,250.0,2025-12-15T14:33:43.960413+00:00
7,1,73,1825.0,2025-12-17T11:54:09.980137+00:00
8,6,69589,3896984.0,2025-12-17T11:54:18.982872+00:00
9,4,2,24.0,2025-12-17T11:54:26.017734+00:00
10,5,5,2490.0,2025-12-17T12:03:04.849994+00:00
11,3,10,250.0,2025-12-17T12:20:48.013628+00:00
12,7,1,8475.0,2025-12-17T12:26:17.639293+00:00
